Espace Mittelland,4723,75,4648,929,3719,5883,76,5807,1003,4804,475,13,462,120,342,4334,59,4275,763,3512,1074,4,1070,120,950
Berne,2732,42,2690,565,2125,3379,43,3336,603,2733,266,9,257,73,184,2473,31,2442,460,1982,640,3,637,70,567
Fribourg,612,14,598,123,475,795,14,781,138,643,66,1,65,22,43,586,13,573,94,479,143,0,143,22,121
Soleure,844,8,836,114,722,1047,8,1039,122,917,74,1,73,10,63,795,6,789,104,685,178,1,177,8,169
Neuchâtel,375,5,370,95,275,457,5,452,98,354,50,0,50,12,38,327,5,322,74,248,80,0,80,12,68
Jura,160,6,154,32,122,205,6,199,42,157,19,2,17,3,14,153,4,149,31,118,33,0,33,8,25
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse du Nord-Ouest,2623,33,2590,490,2100,3238,36,3202,514,2688,366,4,362,88,274,2297,25,2272,378,1894,575,7,568,48,520
Bâle-Ville,495,5,490,95,395,589,6,583,98,485,115,2,113,28,85,367,2,365,64,301,107,2,105,6,99
Bâle-Campagne,720,9,711,94,617,920,11,909,100,809,98,2,96,17,79,635,7,628,72,556,187,2,185,11,174
Argovie,1408,19,1389,301,1088,1729,19,1710,316,1394,153,0,153,43,110,1295,16,1279,242,1037,281,3,278,31,247
,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,3115,46,3069,527,2542,3703,51,3652,579,3073,420,11,409,98,311,2679,32,2647,415,2232,604,8,596,66,530
